"","Date","Q","Rain","T","ETP_dint","peff"
"2466",2016-05-06,0.03409375,0,8.29166666666667,2.06573909537983,0
"2467",2016-05-07,0.02984375,11.3,8.76666666666667,2.11184356246197,9.18815643753803
"2468",2016-05-08,0.0700833333333333,4,15.0333333333333,2.15782000895317,1.84217999104683
"2469",2016-05-09,0.07059375,0,18.1125,2.20356107818928,0
"2470",2016-05-10,0.0426354166666667,0.2,15.9416666666667,2.24895941350617,0
"2471",2016-05-11,0.0334895833333333,0,15.6375,2.29390765823968,0
"2472",2016-05-12,0.0270416666666667,0,16.2541666666667,2.33829845572566,0
"2473",2016-05-13,0.0239583333333333,0,14.3375,2.38202444929999,0
"2474",2016-05-14,0.0220104166666667,0,10.4375,2.4249782822985,0
"2475",2016-05-15,0.0203958333333333,0,8.47916666666667,2.46705259805706,0
"2476",2016-05-16,0.0194166666666667,2.3,9.6125,2.50815673042681,0
"2477",2016-05-17,0.0185208333333333,2.8,10.6583333333333,2.54826677532011,0.251733224679892
"2478",2016-05-18,0.0181770833333333,4.8,10.2916666666667,2.58737551916458,2.21262448083542
"2479",2016-05-19,NA,1.9,10.4916666666667,2.62547574838786,0
"2480",2016-05-20,0.022,18,11.5083333333333,2.66256024941758,15.3374397505824
"2481",2016-05-21,0.291614583333333,3.3,11.2583333333333,2.69862180868139,0.601378191318605
"2482",2016-05-22,0.146645833333333,1.6,9.85416666666667,2.73365321260693,0
"2483",2016-05-23,0.04609375,0.2,10.875,2.76764724762182,0
"2484",2016-05-24,0.0329895833333333,0,12.7625,2.80059670015371,0
"2485",2016-05-25,0.0262083333333333,0,11.5458333333333,2.83249435663022,0
"2486",2016-05-26,0.0217395833333333,0,10.2625,2.86333300347901,0
"2487",2016-05-27,0.0193854166666667,0,12.8958333333333,2.89310542712771,0
"2488",2016-05-28,0.0179375,0,14.1791666666667,2.92180441400394,0
"2489",2016-05-29,0.0166458333333333,2.3,14.4041666666667,2.94942275053536,0
"2490",2016-05-30,0.0151145833333333,0,12.9333333333333,2.97595322314959,0
"2491",2016-05-31,0.0140625,0,12.1666666666667,3.00138861827427,0
"2492",2016-06-01,0.0134583333333333,0,13.3375,3.02572172233704,0
"2493",2016-06-02,0.0130104166666667,0,15.0916666666667,3.04894532176554,0
"2494",2016-06-03,0.01265625,0,12.5375,3.0710522029874,0
"2495",2016-06-04,0.01190625,0,16.6833333333333,3.09203515243026,0
"2496",2016-06-05,0.011,0,18.1416666666667,3.11188695652176,0
"2497",2016-06-06,0.010375,1.4,17.425,3.13060040168953,0
"2498",2016-06-07,0.0102083333333333,0.2,16.5166666666667,3.14816827436122,0
"2499",2016-06-08,0.009,0,17.2291666666667,3.16458336096444,0
"2500",2016-06-09,0.00898958333333333,5.7,17.6875,3.17983844792686,2.52016155207314
"2501",2016-06-10,0.00940625,18.2,16.0833333333333,3.19392632167609,15.0060736783239
"2502",2016-06-11,0.0100729166666667,21.5,16.5541666666667,3.20683976863978,18.2931602313602
"2503",2016-06-12,0.0161666666666667,2.1,14.85,3.21857157524557,0
"2504",2016-06-13,0.01503125,4.6,14.95,3.22911452792108,1.37088547207892
"2505",2016-06-14,0.13534375,1.5,14.45,3.23846141309397,0
"2506",2016-06-15,0.04403125,0.8,14.225,3.24660501719186,0
"2507",2016-06-16,0.0270729166666667,0,12.2291666666667,3.2535483907473,0
"2508",2016-06-17,0.0194270833333333,0,11.7875,3.25933564071254,0
"2509",2016-06-18,0.0168958333333333,3.8,12.9375,3.26402113814469,0.535978861855309
"2510",2016-06-19,0.0853645833333333,12.6,15.7041666666667,3.26765925410091,9.33234074589909
"2511",2016-06-20,0.127989583333333,1.3,13.3625,3.27030435963834,0
"2512",2016-06-21,0.0506666666666667,2.9,14.7166666666667,3.27201082581413,0
"2513",2016-06-22,0.03690625,0.4,13.8083333333333,3.2728330236854,0
"2514",2016-06-23,0.03021875,16.6,13.5791666666667,3.27282532430931,13.3271746756907
"2515",2016-06-24,0.196083333333333,5.7,13.675,3.27204209874299,2.42795790125701
"2516",2016-06-25,0.1094375,5.3,12.9458333333333,3.27053771804359,2.02946228195641
"2517",2016-06-26,0.165177083333333,0.8,13.3833333333333,3.26836655326825,0
"2518",2016-06-27,0.112364583333333,1.2,13.2291666666667,3.26558297547411,0
"2519",2016-06-28,0.0480625,8.4,12.5458333333333,3.26224135571831,5.13775864428169
"2520",2016-06-29,0.158833333333333,1.8,12.475,3.25839606505799,0
"2521",2016-06-30,0.0987083333333333,7.6,12.6333333333333,3.25410147455031,4.34589852544969
"2522",2016-07-01,0.26284375,9.4,11.6041666666667,3.24941195525239,6.15058804474761
"2523",2016-07-02,0.25540625,5.2,12.4458333333333,3.24438187822137,1.95561812177863
"2524",2016-07-03,0.0798541666666667,17.9,12.4,3.23906561451442,14.6609343854856
"2525",2016-07-04,0.0842083333333333,17.5,11.95,3.23351753518865,14.2664824648114
"2526",2016-07-05,0.0820625,1.1,12.9333333333333,3.22779201130122,0
"2527",2016-07-06,0.0522395833333333,3,13.975,3.22194341390926,0
"2528",2016-07-07,0.0648645833333333,2.4,14.9666666666667,3.21602611406993,0
"2529",2016-07-08,0.0762916666666667,2.5,14.7208333333333,3.21009448284035,0
"2530",2016-07-09,0.0829791666666667,1.1,17.025,3.20420289127768,0
"2531",2016-07-10,0.0693020833333333,3.2,15.4375,3.19840571043905,0.00159428956095331
"2532",2016-07-11,0.158052083333333,1.8,13.7666666666667,3.1927573113816,0
"2533",2016-07-12,0.0878125,6.9,13.4125,3.18731206516248,3.71268793483752
"2534",2016-07-13,0.150604166666667,4,13.1291666666667,3.18212434283884,0.817875657161165
"2535",2016-07-14,0.156479166666667,6.3,13.8583333333333,3.1772485154678,3.1227514845322
"2536",2016-07-15,0.220864583333333,4.9,16.725,3.17273895410651,1.72726104589349
"2537",2016-07-16,0.22203125,0.2,13.8708333333333,3.16863439373052,0
"2538",2016-07-17,0.0682395833333333,0.5,15.1541666666667,3.16491102498895,0
"2539",2016-07-18,0.04625,0,18.6041666666667,3.16152940244934,0
"2540",2016-07-19,0.0388125,0.4,20.0916666666667,3.15845008067923,0
"2541",2016-07-20,0.032375,0.4,15.5,3.15563361424614,0
"2542",2016-07-21,0.0302916666666667,7.4,16.3125,3.1530405577176,4.2469594422824
"2543",2016-07-22,0.0627604166666667,0.2,14.8625,3.15063146566115,0
"2544",2016-07-23,0.0430208333333333,1.5,14.8,3.14836689264433,0
"2545",2016-07-24,0.05165625,8.2,14.4583333333333,3.14620739323466,5.05379260676534
"2546",2016-07-25,0.124385416666667,3.4,13.8625,3.14411352199967,0.255886478000327
"2547",2016-07-26,0.1634375,11,14.2791666666667,3.14204583350691,7.85795416649309
"2548",2016-07-27,0.232572916666667,8.8,14.3833333333333,3.13996488232389,5.66003511767611
"2549",2016-07-28,0.267447916666667,2.2,14.5666666666667,3.13783122301816,0
"2550",2016-07-29,0.154083333333333,1.3,14.1625,3.13560541015724,0
"2551",2016-07-30,0.08353125,4.5,13.85,3.13324799830868,1.36675200169132
"2552",2016-07-31,0.0926770833333333,3.1,13.1833333333333,3.13071954203999,0
"2553",2016-08-01,0.0735416666666667,2.2,14.9291666666667,3.12798059591872,0
"2554",2016-08-02,0.05959375,3.2,15.9,3.12499171451239,0.07500828548761
"2555",2016-08-03,0.249635416666667,20.7,15.1416666666667,3.12171345238854,17.5782865476115
"2556",2016-08-04,0.466697916666667,1,15.4958333333333,3.1181063641147,0
